[INFO] step: 7300/16586, total_loss: 0.961924, ctc_loss: 0.837082, rmse_loss: 0.024968, cer: 0.49, elapsed: 1.68s 207.90m 3.47h, lr: 0.000100
[INFO] step: 7400/16586, total_loss: 1.098359, ctc_loss: 0.966710, rmse_loss: 0.026330, cer: 0.49, elapsed: 1.41s 210.22m 3.50h, lr: 0.000100
[INFO] step: 7500/16586, total_loss: 1.009534, ctc_loss: 0.876492, rmse_loss: 0.026608, cer: 0.49, elapsed: 1.60s 212.61m 3.54h, lr: 0.000100
[INFO] step: 7600/16586, total_loss: 1.286042, ctc_loss: 1.152778, rmse_loss: 0.026653, cer: 0.49, elapsed: 1.60s 215.00m 3.58h, lr: 0.000100
[INFO] step: 7700/16586, total_loss: 1.106585, ctc_loss: 0.975047, rmse_loss: 0.026308, cer: 0.49, elapsed: 1.39s 217.40m 3.62h, lr: 0.000100
[INFO] step: 7800/16586, total_loss: 1.195173, ctc_loss: 1.067217, rmse_loss: 0.025591, cer: 0.49, elapsed: 1.60s 219.79m 3.66h, lr: 0.000100
[INFO] step: 7900/16586, total_loss: 1.060477, ctc_loss: 0.924907, rmse_loss: 0.027114, cer: 0.49, elapsed: 1.57s 222.20m 3.70h, lr: 0.000100
[INFO] step: 8000/16586, total_loss: 1.154422, ctc_loss: 1.023592, rmse_loss: 0.026166, cer: 0.48, elapsed: 1.50s 224.66m 3.74h, lr: 0.000100
[INFO] step: 8100/16586, total_loss: 1.181949, ctc_loss: 1.052092, rmse_loss: 0.025971, cer: 0.48, elapsed: 1.78s 227.07m 3.78h, lr: 0.000100
[INFO] step: 8200/16586, total_loss: 1.144969, ctc_loss: 1.015587, rmse_loss: 0.025876, cer: 0.48, elapsed: 1.79s 229.51m 3.83h, lr: 0.000100
[INFO] step: 8300/16586, total_loss: 1.078613, ctc_loss: 0.954969, rmse_loss: 0.024729, cer: 0.48, elapsed: 1.13s 231.89m 3.86h, lr: 0.000100
[INFO] step: 8400/16586, total_loss: 1.022712, ctc_loss: 0.896597, rmse_loss: 0.025223, cer: 0.48, elapsed: 1.13s 234.31m 3.91h, lr: 0.000100
[INFO] step: 8500/16586, total_loss: 1.204052, ctc_loss: 1.076557, rmse_loss: 0.025499, cer: 0.48, elapsed: 1.11s 236.81m 3.95h, lr: 0.000100
[INFO] step: 8600/16586, total_loss: 1.221791, ctc_loss: 1.090342, rmse_loss: 0.026290, cer: 0.48, elapsed: 1.11s 239.19m 3.99h, lr: 0.000100
[INFO] step: 8700/16586, total_loss: 0.972503, ctc_loss: 0.846532, rmse_loss: 0.025194, cer: 0.48, elapsed: 1.29s 241.64m 4.03h, lr: 0.000100
[INFO] step: 8800/16586, total_loss: 1.193960, ctc_loss: 1.072763, rmse_loss: 0.024239, cer: 0.48, elapsed: 1.67s 244.02m 4.07h, lr: 0.000100
[INFO] step: 8900/16586, total_loss: 0.886259, ctc_loss: 0.761705, rmse_loss: 0.024911, cer: 0.47, elapsed: 1.66s 246.50m 4.11h, lr: 0.000100
[INFO] step: 9000/16586, total_loss: 1.109909, ctc_loss: 0.989989, rmse_loss: 0.023984, cer: 0.47, elapsed: 1.74s 248.87m 4.15h, lr: 0.000100
[INFO] step: 9100/16586, total_loss: 1.220628, ctc_loss: 1.100283, rmse_loss: 0.024069, cer: 0.47, elapsed: 1.53s 251.34m 4.19h, lr: 0.000100
[INFO] step: 9200/16586, total_loss: 0.991511, ctc_loss: 0.869797, rmse_loss: 0.024343, cer: 0.47, elapsed: 1.57s 253.72m 4.23h, lr: 0.000100
[INFO] step: 9300/16586, total_loss: 0.930808, ctc_loss: 0.805623, rmse_loss: 0.025037, cer: 0.47, elapsed: 1.36s 256.13m 4.27h, lr: 0.000100
[INFO] step: 9400/16586, total_loss: 0.969987, ctc_loss: 0.851656, rmse_loss: 0.023666, cer: 0.47, elapsed: 1.46s 258.55m 4.31h, lr: 0.000100
[INFO] step: 9500/16586, total_loss: 1.013806, ctc_loss: 0.894223, rmse_loss: 0.023917, cer: 0.47, elapsed: 1.80s 260.91m 4.35h, lr: 0.000100
[INFO] step: 9600/16586, total_loss: 0.943794, ctc_loss: 0.823889, rmse_loss: 0.023981, cer: 0.47, elapsed: 1.53s 263.36m 4.39h, lr: 0.000100
[INFO] step: 9700/16586, total_loss: 0.901915, ctc_loss: 0.775929, rmse_loss: 0.025197, cer: 0.47, elapsed: 1.68s 265.82m 4.43h, lr: 0.000100
[INFO] step: 9800/16586, total_loss: 1.254648, ctc_loss: 1.133660, rmse_loss: 0.024198, cer: 0.46, elapsed: 1.30s 268.31m 4.47h, lr: 0.000100
[INFO] step: 9900/16586, total_loss: 0.861263, ctc_loss: 0.738395, rmse_loss: 0.024574, cer: 0.46, elapsed: 1.54s 270.71m 4.51h, lr: 0.000100
[INFO] step: 10000/16586, total_loss: 1.177957, ctc_loss: 1.053483, rmse_loss: 0.024895, cer: 0.46, elapsed: 1.64s 273.17m 4.55h, lr: 0.000100
[INFO] step: 10100/16586, total_loss: 0.860780, ctc_loss: 0.738412, rmse_loss: 0.024474, cer: 0.46, elapsed: 0.89s 275.52m 4.59h, lr: 0.000100
[INFO] step: 10200/16586, total_loss: 1.038367, ctc_loss: 0.916584, rmse_loss: 0.024357, cer: 0.46, elapsed: 1.61s 277.89m 4.63h, lr: 0.000100
[INFO] step: 10300/16586, total_loss: 0.974394, ctc_loss: 0.855116, rmse_loss: 0.023856, cer: 0.46, elapsed: 1.55s 280.23m 4.67h, lr: 0.000100
[INFO] step: 10400/16586, total_loss: 1.012910, ctc_loss: 0.888966, rmse_loss: 0.024789, cer: 0.46, elapsed: 1.50s 282.65m 4.71h, lr: 0.000100
[INFO] step: 10500/16586, total_loss: 0.992717, ctc_loss: 0.873508, rmse_loss: 0.023842, cer: 0.46, elapsed: 1.69s 285.04m 4.75h, lr: 0.000100
[INFO] step: 10600/16586, total_loss: 0.901797, ctc_loss: 0.783942, rmse_loss: 0.023571, cer: 0.46, elapsed: 1.07s 287.48m 4.79h, lr: 0.000100
[INFO] step: 10700/16586, total_loss: 0.928368, ctc_loss: 0.813844, rmse_loss: 0.022905, cer: 0.46, elapsed: 1.53s 289.88m 4.83h, lr: 0.000100
[INFO] step: 10800/16586, total_loss: 1.029443, ctc_loss: 0.910517, rmse_loss: 0.023785, cer: 0.46, elapsed: 1.10s 292.27m 4.87h, lr: 0.000100
[INFO] step: 10900/16586, total_loss: 1.045556, ctc_loss: 0.924756, rmse_loss: 0.024160, cer: 0.46, elapsed: 1.46s 294.72m 4.91h, lr: 0.000100
[INFO] step: 11000/16586, total_loss: 1.051867, ctc_loss: 0.932263, rmse_loss: 0.023921, cer: 0.46, elapsed: 1.07s 297.08m 4.95h, lr: 0.000100
[INFO] step: 11100/16586, total_loss: 1.051774, ctc_loss: 0.932016, rmse_loss: 0.023951, cer: 0.45, elapsed: 1.05s 299.51m 4.99h, lr: 0.000100
[INFO] step: 11200/16586, total_loss: 1.112151, ctc_loss: 0.999738, rmse_loss: 0.022483, cer: 0.45, elapsed: 1.66s 301.91m 5.03h, lr: 0.000100
[INFO] step: 11300/16586, total_loss: 1.014104, ctc_loss: 0.899184, rmse_loss: 0.022984, cer: 0.45, elapsed: 1.10s 304.31m 5.07h, lr: 0.000100
[INFO] step: 11400/16586, total_loss: 1.022701, ctc_loss: 0.902976, rmse_loss: 0.023945, cer: 0.45, elapsed: 1.09s 306.81m 5.11h, lr: 0.000100
[INFO] step: 11500/16586, total_loss: 0.959973, ctc_loss: 0.843933, rmse_loss: 0.023208, cer: 0.45, elapsed: 1.57s 309.19m 5.15h, lr: 0.000100
[INFO] step: 11600/16586, total_loss: 1.140202, ctc_loss: 1.026486, rmse_loss: 0.022743, cer: 0.45, elapsed: 1.07s 311.59m 5.19h, lr: 0.000100
[INFO] step: 11700/16586, total_loss: 0.937659, ctc_loss: 0.823081, rmse_loss: 0.022916, cer: 0.45, elapsed: 1.20s 314.02m 5.23h, lr: 0.000100
[INFO] step: 11800/16586, total_loss: 1.002016, ctc_loss: 0.881370, rmse_loss: 0.024129, cer: 0.45, elapsed: 1.62s 316.37m 5.27h, lr: 0.000100
[INFO] step: 11900/16586, total_loss: 1.028098, ctc_loss: 0.912835, rmse_loss: 0.023052, cer: 0.45, elapsed: 1.63s 318.77m 5.31h, lr: 0.000100
[INFO] step: 12000/16586, total_loss: 0.993527, ctc_loss: 0.882921, rmse_loss: 0.022121, cer: 0.45, elapsed: 1.95s 321.20m 5.35h, lr: 0.000100
[INFO] step: 12100/16586, total_loss: 0.706492, ctc_loss: 0.601435, rmse_loss: 0.021011, cer: 0.45, elapsed: 1.94s 323.60m 5.39h, lr: 0.000100
[INFO] step: 12200/16586, total_loss: 1.041271, ctc_loss: 0.929054, rmse_loss: 0.022443, cer: 0.45, elapsed: 1.58s 326.01m 5.43h, lr: 0.000100
[INFO] step: 12300/16586, total_loss: 0.840805, ctc_loss: 0.731538, rmse_loss: 0.021853, cer: 0.45, elapsed: 1.46s 328.40m 5.47h, lr: 0.000100
[INFO] step: 12400/16586, total_loss: 0.797448, ctc_loss: 0.687112, rmse_loss: 0.022067, cer: 0.44, elapsed: 1.43s 330.82m 5.51h, lr: 0.000100
