params : {'iterations': 10, 'depth': 4, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 10, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.69 , best_threshold : [0.49, 0.5], train_time : 8.48
params : {'iterations': 500, 'depth': 5, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 50, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.71 , best_threshold : [0.35, 0.49], train_time : 10.20
params : {'iterations': 100, 'depth': 5, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 30, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.70 , best_threshold : [0.37, 0.49], train_time : 10.59
params : {'iterations': 200, 'depth': 5, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 30, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.71 , best_threshold : [0.37, 0.49], train_time : 10.34
params : {'iterations': 100, 'depth': 5, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 30, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.70 , best_threshold : [0.37, 0.49], train_time : 9.76
params : {'iterations': 200, 'depth': 10, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 50, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.37], train_time : 84.49
params : {'iterations': 700, 'depth': 4, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 10, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.71 , best_threshold : [0.36, 0.5], train_time : 8.97
params : {'iterations': 500, 'depth': 10, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 10, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.38], train_time : 65.58
params : {'iterations': 700, 'depth': 5, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 30, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.71 , best_threshold : [0.36, 0.49], train_time : 9.35
params : {'iterations': 100, 'depth': 4, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 10, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.69 , best_threshold : [0.49, 0.5], train_time : 9.39
params : {'iterations': 1000, 'depth': 5, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 30, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.36, 0.49], train_time : 9.68
params : {'iterations': 50, 'depth': 6, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 30, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.39, 0.4], train_time : 11.49
params : {'iterations': 1000, 'depth': 6, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 30, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.36], train_time : 93.68
params : {'iterations': 200, 'depth': 10, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 50, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.37], train_time : 95.39
params : {'iterations': 100, 'depth': 8, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 50, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.38, 0.38], train_time : 18.02
params : {'iterations': 500, 'depth': 5, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 10, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.71 , best_threshold : [0.35, 0.49], train_time : 9.89
params : {'iterations': 1000, 'depth': 8, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 50, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.38], train_time : 101.89
params : {'iterations': 50, 'depth': 5, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 50, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.70 , best_threshold : [0.39, 0.49], train_time : 11.14
params : {'iterations': 500, 'depth': 5, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 30, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.71 , best_threshold : [0.35, 0.49], train_time : 10.85
params : {'iterations': 700, 'depth': 5, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 10, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.71 , best_threshold : [0.35, 0.49], train_time : 9.63
params : {'iterations': 500, 'depth': 10, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 50, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.37], train_time : 153.00
params : {'iterations': 300, 'depth': 6, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 50, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.36], train_time : 53.55
params : {'iterations': 100, 'depth': 6, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 50, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.72 , best_threshold : [0.37, 0.37], train_time : 22.45
params : {'iterations': 200, 'depth': 6, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 10, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.37], train_time : 23.74
params : {'iterations': 10, 'depth': 8, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 50, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.70 , best_threshold : [0.46, 0.49], train_time : 10.42
params : {'iterations': 700, 'depth': 10, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 30, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.36, 0.37], train_time : 154.49
params : {'iterations': 10, 'depth': 8, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 30, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.70 , best_threshold : [0.46, 0.49], train_time : 9.33
params : {'iterations': 300, 'depth': 8, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 10, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.37], train_time : 36.10
params : {'iterations': 300, 'depth': 5, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 50, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.71 , best_threshold : [0.36, 0.49], train_time : 11.40
params : {'iterations': 200, 'depth': 5, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 10, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.71 , best_threshold : [0.37, 0.49], train_time : 9.80
params : {'iterations': 300, 'depth': 4, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 10, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.70 , best_threshold : [0.37, 0.5], train_time : 9.91
params : {'iterations': 200, 'depth': 10, 'loss_function': 'CrossEntropy', 'leaf_estimation_iterations': 30, 'eval_metric': 'F1', 'logging_level': 'Silent', 'random_seed': 42, 'datatype': 'label_encoding'} , cv_mean(best_f1) 0.73 , best_threshold : [0.37, 0.37], train_time : 69.56
